id,season,episode,scene,line_text,speaker,deleted
282,1,2,4,"This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?",Jim,False
283,1,2,5,Solitaire?,Jim,False
284,1,2,5,"Yeah, Freecell.",Pam,False
285,1,2,5,Six on seven.,Jim,False
286,1,2,5,I know. I saw that.,Pam,False
287,1,2,5,"So then, why didn't you do it?",Jim,False
288,1,2,5,I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.,Pam,False
289,1,2,5,Who doesn't love that?,Jim,False
290,1,2,6,"Hey, Oscar! How are you doing, man?",Michael,False
291,1,2,6,All right.,Oscar,False
292,1,2,6,Did you have a good weekend going there?,Michael,False
293,1,2,6,It was fine.,Oscar,False
294,1,2,6,"Oh yeah, I bet it was fun. [to Mr. Brown] Oh, hey! This is Oscar---",Michael,False
295,1,2,6,Martinez.,Oscar,False
296,1,2,6,"Right. See? I don't even know, first-name basis!",Michael,False
298,1,2,6,"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?",Michael,False
299,1,2,6,"Yeah, uh, Mr. Decker, please.",Jim,False
300,1,2,6,"It's diversity day, Jim. I wish every day was diversity day.",Michael,False
301,1,2,6,You know what? I'm actually going to have to call you back. Thank you. Sorry about that.,Jim,False
303,1,2,7,"Come on people, let's get 'em in. Get in the cards! Get in the cards!",Michael,False
305,1,2,7,"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race.",Michael,False
307,1,2,7,"Exactly, were not...",Michael,False
309,1,2,7,With tolerance.,Michael,False
311,1,2,7,Ignorance.,Michael,False
313,1,2,7,Let's celebrate.,Michael,False
315,1,2,7,Celebrate good times. Come on! Let's celebrate diversity. Right?,Michael,False
317,1,2,7,You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.,Michael,False
318,1,2,7,I have two. White and Indian.,Dwight,False
320,1,2,7,Yes.,Michael,False
322,1,2,7,OK.,Michael,False
324,1,2,7,A few of the ground rules?,Dwight,False
325,1,2,7,"Hey, hey why don't you run it by me and I'll run it by him.",Michael,False
326,1,2,7,"OK, can we steer away from gay people?",Dwight,False
328,1,2,7,"I'm sorry. It's an orientation. It's not a race. Plus a lot of other races are intolerant of gays, so...paradox.",Dwight,False
330,1,2,7,I figured it would save time.,Dwight,False
331,1,2,7,OK. Why don't we just defer to Mr...,Michael,False
333,1,2,7,"Ah. Oh, right! OK. First test. I will not call you that.",Michael,False
335,1,2,8,"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?",Michael,False
337,1,2,9,I will play the Chris Rock guy. I would like to see someone else pull this off.,Michael,False
339,1,2,9,"OK, I will play guy listening.",Michael,False
341,1,2,9,I remember.,Kevin,False
343,1,2,9,OK.,Michael,False
344,1,2,10,Kevin is a great guy. He's a great accountant. He is not much of an entertainer.,Michael,False
345,1,2,11,"Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess.",Kevin,False
346,1,2,11,"OK. I'm sorry. I'm sorry. He's ruin... He's butchering it. Could you just let me... [As Chris Rock] Every time... Every time black people want to have a good time, some ignant ass... [Bleep] I take care of my kid!",Michael,False
348,1,2,11,[Bleep] They always want credit for something they supPOSED to do!,Michael,False
350,1,2,11,[As Chris Rock] What you want a cookie?,Michael,False
352,1,2,12,"Excuse me, I'm sorry, but that's not all it takes to be a hero.",Dwight,False
354,1,2,12,"A hero kills people, people that wish him harm.",Dwight,False
356,1,2,12,"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.",Dwight,False
358,1,2,12,We all have a hero in our heart.,Dwight,False
360,1,2,12,[Clears throat] I don't think I can sign this.,Michael,False
362,1,2,12,"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?",Michael,False
364,1,2,12,Sure.,Michael,False
366,1,2,13,"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit.",Michael,False
368,1,2,13,"OK, well I know. You told me that several times.",Michael,False
370,1,2,13,OK.,Michael,False
372,1,2,13,"Well, here I am thinking that you actually cared about diversity training. And you don't.",Michael,False
374,1,2,13,I won't.,Michael,False
376,1,2,13,"Yeah, yeah.",Michael,False
377,1,2,14,"I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness...' Open-mindedness, is that even a word? '...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.' [Laughing] He's going to lose it when he reads that.",Michael,False
378,1,2,15,"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.",Jim,False
379,1,2,15,"I pledge to always keep an open mind and an open heart.' I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, 'Mr. Brown,' he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears.",Michael,False
380,1,2,16,All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.,Michael,False
382,1,2,16,Get out.,Michael,False
384,1,2,16,"No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let's go. Let's do it. Come on. Let's have some fun, everybody. Here we go. Take a seat. Cop a squat. And um... thanks for coming in. Um... Diversity... is the cornerstone of progress as I've always said. But don't take my word for it. Let's take a look at the tape.",Michael,False
385,1,2,17,"[on the tape] Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, 'If you're a racist, I will attack you with the North.' And those are the principles that I carry with me in the workplace.",Michael,False
386,1,2,18,OK. Questions? Comments? Anybody? Jim?,Michael,False
387,1,2,18,": Uh, is that it?",Jim,False
388,1,2,18,Yes. I only had an hour to put it together but I'm going to add on to it later on.,Michael,False
389,1,2,18,It was kind of hard to hear.,Kevin,False
390,1,2,18,"Uh, yes. That probably had something to do with the camera work. Anybody else? Um...",Michael,False
392,1,2,18,"Yeah, well, if you leave we'll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let's get down to business and why don't I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian.",Michael,False
393,1,2,18,What part Native American?,Oscar,False
394,1,2,18,Two fifteenths.,Michael,False
395,1,2,18,"Two fifteenths, that fraction doesn't make any sense.",Oscar,False
396,1,2,18,"Well, you know what, it's kind of hard for me to talk about it. Their suffering. So who else? Let's get this popping. Come on. Who's going? Who's going? Let's go here. Oscar, right here. You're on.",Michael,False
397,1,2,18,"OK, Michael, um... Both my parents were born in Mexico.",Oscar,False
398,1,2,18,"Oh, yeah...",Michael,False
399,1,2,18,"And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States.",Oscar,False
400,1,2,18,Wow.,Michael,False
401,1,2,18,My parents were Mexican.,Oscar,False
402,1,2,18,"Wow. That is... That is a great story. That's the American Dream right there, right?",Michael,False
403,1,2,18,Thank... Yeah...,Oscar,False
404,1,2,18,"Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?",Michael,False
405,1,2,18,Mexican isn't offensive.,Oscar,False
406,1,2,18,"Well, it has certain connotations.",Michael,False
407,1,2,18,Like what?,Oscar,False
408,1,2,18,Like... I don't... I don't know.,Michael,False
409,1,2,18,"What connotations, Michael? You meant something.",Oscar,False
410,1,2,18,"No. Now, remember that honesty...",Michael,False
411,1,2,18,I'm just curious.,Oscar,False
412,1,2,18,"...empathy, respect... [Phone ringing] Jim! Jim!",Michael,False
413,1,2,18,Hello? Hello?,Jim,False
414,1,2,19,"I have something here. I want you to take a card. Put it on your fore... Don't look at the card. I want you to take the card and put it on your forehead and... Take a card, take a card, any card. Um... And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so... I want you to really go for it, cause this is real. You know, this isn't just an exercise. This is real life. And... I have a dream that you will really let the sparks fly. Get 'er done.",Michael,False
415,1,2,20,Why? Because Martin Luther King is a hero of mine. There's this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I'm not going to do it but it's...,Michael,False
416,1,2,21,Oh this is a good one.,Michael,False
417,1,2,21,"Um, hi. How are you?",Pam,False
419,1,2,21,Great.,Pam,False
420,1,2,21,Push it.,Michael,False
422,1,2,21,Thank you.,Pam,False
423,1,2,21,Good. Bom bom bom-bom bom. Come on Olympics of Suffering right here. Slavery versus the Holocaust. Come on.,Michael,False
425,1,2,21,"No, that was inadvertent. We didn't actually plan that.",Michael,False
426,1,2,21,"Lots of cultures eat rice, doesn't help me.",Dwight,False
427,1,2,21,Um... Shalom. I'd like to apply for a loan.,Dwight,False
428,1,2,21,"That's nice, Dwight.",Pam,False
429,1,2,21,"OK, do me. Something stereotypical so I can get it really quick.",Dwight,False
430,1,2,21,"OK, I like your food.",Pam,False
431,1,2,21,"Outback steakhouse. [Australian accent] I'm Australian, mate!",Dwight,False
432,1,2,21,"Pam, come on. 'I like your food.' Come on stir the pot. Stir the melting pot, Pam! Let's do it. Let's get ugly. Let's get real.",Michael,False
433,1,2,21,"OK. If I have to do this, based on stereotypes that are totally untrue, that I do not agree with, you would maybe not be  a very good driver.",Pam,False
434,1,2,21,"Oh, man, am I a woman?",Dwight,False
435,1,2,22,"You'll notice I didn't have anybody be an Arab. I thought that would be too explosive. No pun intended. But I just though. 'Too soon for Arabs.' Maybe next year. Um... You know, the ball's in their court.",Michael,False
436,1,2,23,What are you watching?,Jim,False
438,1,2,23,Really?,Jim,False
440,1,2,23,No way. I think she likes this stuff.,Jim,False
442,1,2,23,"Yeah, you know, she's engaged, but...",Jim,False
444,1,2,23,"Oh, yeah. She's hot.",Jim,False
445,1,2,24,Hey.,Kevin,False
446,1,2,24,Hey.,Angela,False
